bank_code,branch_code,branch_location
7010,1,City Office
7010,2,Kandy
7010,3,Galle Fort
7010,4,Pettah
7010,5,Jaffna
7010,6,Trincomalee
7010,7,Panadura
7010,9,Kurunegala
7010,11,Badulla
7010,12,Batticaloa
7010,15,Central Office 
7010,16,Kalutara S/G
7010,18,Negombo
7010,20,Chilaw
7010,21,Ampara
7010,22,Anuradhapura
7010,23,Wellawatte
7010,24,Matara
7010,26,Main Street
7010,27,Kegalle
7010,28,Point Pedro
7010,29,Nuwara Eliya
7010,30,Katubedda
7010,31,Ratnapura
7010,32,Aluthkade
7010,34,Kollupitiya
7010,35,Haputale
7010,37,Bambalapitiya
7010,38,Borella S/G
7010,39,Ja-Ela
7010,40,Hatton
7010,41,Maradana
7010,42,Peliyagoda
7010,43,Union Place
7010,44,Vavuniya
7010,45,Gampaha S/G
7010,46,Mannar
7010,47,Ambalangoda
7010,48,Puttalam
7010,49,Nugegoda Supergrade
7010,50,Nattandiya
7010,51,Dehiwala
7010,52,Kuliyapitiya
7010,53,Chunnakam
7010,54,Horana
7010,55,Maharagama
7010,56,Tangalle
7010,57,Eheliyagoda
7010,58,Beruwala
7010,59,Kadawatha
7010,60,Fifth City
7010,61,Moratuwa
7010,63,Velanai
7010,68,Matale
7010,82,Monaragala
7010,83,Polonnaruwa New Town
7010,85,Hambantota
7010,87,International Division
7010,88,Mirigama
7010,89,Galle Bazaar
7010,92,Naula
7010,93,Kilinochchi
7010,98,Anuradhapura New Town
7010,99,Primary Dealer Unit
7010,101,Galaha
7010,102,Bentota
7010,104,Welpalla
7010,118,Muttur
7010,122,Galenbindunuwewa
7010,127,Padavi Parakramapura
7010,135,Imaduwa
7010,139,Weeraketiya
7010,144,Yatawatte
7010,152,Pemaduwa
7010,157,Tirappane
7010,162,Medawachchiya
7010,167,Rikillagaskada
7010,172,Kobeigane
7010,183,Sewagama
7010,217,Horowpathana
7010,236,Ipalogama
7010,238,Medagama
7010,250,Tawalama
7010,255,Malkaduwawa
7010,256,Thanthirimale
7010,257,Mawathagama
7010,258,Elakanda
7010,259,Rathgama
7010,260,Diyatalawa
7010,261,Katuwana
7010,262,Kekanadura
7010,263,Kosmodera
7010,264,Kudawella
7010,265,Lunugamvehera
7010,266,Maha Edanda
7010,267,Makandura-Matara
7010,268,Malimbada
7010,270,Morawaka
7010,271,Pasgoda
7010,272,Pitabeddara
7010,273,Digana
7010,274,Weli-Oya
7010,276,Ahangama
7010,277,Aluthwala
7010,278,Barawakumbura
7010,280,Karapitiya
7010,281,Manipay
7010,282,Kitulgala
7010,283,Kolonna
7010,284,Kotiyakumbura
7010,285,Morontota
7010,286,Sabaragamuwa University
7010,287,Pinnawala
7010,288,Sabaragamuwa Provincial Council
7010,290,Seethawakapura
7010,291,Udawalawe
7010,292,Weligepola
7010,293,Dodangoda
7010,294,Karawanella
7010,295,Karawita
7010,297,Kegalle Hospital
7010,298,Urubokka
7010,299,Makandura
7010,300,Marawila
7010,301,Palaviya
7010,302,Pallama
7010,303,Paragahadeniya
7010,305,Thoduwawa
7010,306,Udappuwa
7010,307,Wayamba University
7010,308,Weerapokuna
7010,309,Wellawa
7010,311,Bulathkohupitiya
7010,312,Embilipitiya City
7010,313,Endana
7010,314,Galigamuwa
7010,315,Ratnapura Hospital
7010,316,Gonagaldeniya
7010,317,Kiriella
7010,318,Potuvil
7010,319,Mahawewa
7010,320,Ballaketuwa
7010,322,Thanamalwila
7010,323,Kochchikade
7010,324,Kumbukgete
7010,325,Kuruwita
7010,326,Thirumurukandi
7010,328,Visuvamadu
7010,329,Ambanpola
7010,330,Anawilundawa
7010,331,Dambadeniya
7010,332,Katuneriya
7010,333,Katupotha
7010,334,Kirimetiyana
7010,335,Mihintale
7010,336,Thalaimannar Pier
7010,337,Pussellawa
7010,338,Savalkaddu
7010,339,Sirupiddy
7010,340,Wattegama
7010,341,Puthukudieruppu
7010,342,Puthukulam
7010,343,Uva Paranagama
7010,344,Pesalai
7010,345,Poonagary
7010,346,Poovarasankulam
7010,347,Punnalaikadduvan
7010,348,Padiyatalawa
7010,349,Mallavi
7010,351,Manthikai
7010,352,Maruthankerny
7010,353,Mulankavil
7010,355,Mullativu
7010,356,Murungan
7010,357,Nainativu
7010,358,Nallur
7010,359,Nanatan
7010,360,Nedunkerny
7010,361,Oddusudan
7010,362,Omanthai
7010,363,Pallai
7010,364,Paranthan
7010,365,Hasalaka
7010,366,Jaffna Bus Stand
7010,368,Jaffna Main Street
7010,369,Jaffna University
7010,370,Kaithady
7010,371,Kalviyankadu
7010,372,Karanavai
7010,373,Kayts
7010,375,Kodikamam
7010,376,Kokuvil
7010,377,Illavalai
7010,378,Madhu
7010,379,Wariyapola
7010,380,Alaveddy
7010,381,Andankulam
7010,382,Cheddikulam
7010,383,Delft
7010,384,Meegahakiwula
7010,385,Vavunathivu
7010,386,Vellaveli
7010,388,Diyabeduma
7010,389,Diyasenpura
7010,390,Doramadalawa
7010,391,Galamuna
7010,392,General Hospital-Anuradhapur
7010,393,Habarana
7010,394,Minneriya
7010,395,Padaviya
7010,396,Rajanganaya
7010,397,Rajina Junction
7010,398,Ranajayapura
7010,399,Sevanapitiya
7010,400,Thalawa
7010,401,Ayagama
7010,402,Oddamavady
7010,403,Oluwil
7010,404,Palugamam
7010,405,Polwatte
7010,406,Palmuddai
7010,407,Sainthamarathu
7010,408,Serunuwara
7010,409,Thambiluvil
7010,410,Thampalakamam
7010,411,Thoppur
7010,413,Uhana
7010,414,Uppuvely
7010,415,Vakarai
7010,416,Siyambalanduwa
7010,417,Mollipothana
7010,418,Morawewa
7010,419,Navithanvely
7010,420,Nilavely
7010,421,Seeduwa
7010,422,Malwatte
7010,423,Mamangama
7010,424,Maruthamunai
7010,425,Pundaluoya
7010,426,Kallady
7010,427,Kallar
7010,428,Karadiyanaru
7010,429,Karaitivu
7010,430,Kiran
7010,431,Kokkadicholai
7010,432,Galewela
7010,433,Divulapitiya
7010,434,Wellawaya
7010,436,China Bay
7010,437,Eastern University
7010,438,Gonagolla
7010,439,Irakkamam
7010,440,Samanthurai
7010,441,Pujapitiya
7010,442,Ragala
7010,443,Sigiriya
7010,444,Ukuwela
7010,445,University Of Peradeniya
7010,446,Upcott
7010,447,Wilgamuwa
7010,448,Addalachchenai
7010,449,Alankerny
7010,451,Araiyampathy
7010,452,Batticaloa Town
7010,453,Independent  Square
7010,454,Kandy Hospital
7010,455,Kotagala
7010,456,Marassana
7010,458,Meepilimana
7010,459,Menikhinna
7010,461,Palapathwela
7010,462,Botanical Gardens Peradeniya
7010,463,Haldummulla
7010,464,BOI Pallekelle
7010,465,Bokkawala
7010,466,Danture
7010,467,Daulagala
7010,469,Digana Village
7010,470,Gampola City
7010,471,Ginigathhena
7010,472,Hatharaliyadda
7010,473,Kandy City Centre
7010,474,Court Complex Kandy
7010,476,Ettampitiya
7010,477,Yatiyantota
7010,487,Adikarigama
7010,488,Agarapathana
7010,489,Akurana
7010,490,Ankumbura
7010,491,Bogawantalawa
7010,492,Padiyapelella
7010,494,Andiambalama
7010,497,Dankotuwa
7010,498,Alawwa
7010,499,Wijerama Junction
7010,500,Jaffna 2nd Branch
7010,501,Chavakachcheri
7010,502,Kaduruwela
7010,503,Passara
7010,504,Devinuwara
7010,505,Wattala
7010,506,Maskeliya
7010,507,Kahawatte
7010,508,Wennappuwa
7010,509,Hingurana
7010,510,Kalmunai
7010,511,Mulliyawalai
7010,512,Thimbirigasyaya
7010,513,Kurunegala Bazaar
7010,514,Galnewa
7010,515,Bandarawela
7010,516,Thalawathugoda
7010,517,Walasmulla
7010,518,Middeniya
7010,520,Sri Jayawardenapura Hospital
7010,521,Hyde Park
7010,522,Batapola
7010,524,Gelioya
7010,525,Baddegama
7010,526,Polgahawela
7010,527,Welisara
7010,528,Deniyaya
7010,529,Kamburupitiya
7010,530,Avissawella
7010,531,Talawakelle
7010,532,Ridigama
7010,533,Pitakotte
7010,534,Narammala
7010,535,Embilipitiya
7010,536,Kegalle Bazaar
7010,537,Ambalantota
7010,538,Tissamaharama
7010,539,Beliatta
7010,540,Badalkumbura
7010,541,Pelawatte City Kalutara
7010,542,Mahiyangana
7010,543,Kiribathgoda
7010,544,Madampe
7010,545,Minuwangoda
7010,546,Pannala
7010,547,Nikaweratiya
7010,548,Anamaduwa
7010,549,Galgamuwa
7010,550,Weligama
7010,551,Anuradhapura Bazzar
7010,552,National Institute Of Education
7010,553,Giriulla
7010,554,Bingiriya
7010,555,Melsiripura
7010,556,Matugama
7010,557,Moratumulla
7010,558,Waikkal
7010,559,Mawanella
7010,560,Buttala
7010,561,Dematagoda
7010,562,Warakapola
7010,563,Dharga Town
7010,564,Maho
7010,565,Madurankuliya
7010,566,Aranayake
7010,567,Dedicated Economic Centre-Meegoda
7010,568,Homagama
7010,569,Hiripitiya
7010,570,Hettipola
7010,571,Kirindiwela
7010,572,Negombo Bazzar
7010,573,Central Bus Stand
7010,574,Mankulam
7010,575,Gampola
7010,576,Dambulla
7010,577,Lunugala
7010,578,Yakkalamulla
7010,579,Bibile
7010,580,Dummalasuriya
7010,581,Madawala
7010,582,Rambukkana
7010,583,Mattegoda
7010,584,Wadduwa
7010,585,Ruwanwella
7010,587,Pilimatalawa
7010,588,Peradeniya
7010,589,Kalpitiya
7010,590,Akkaraipattu
7010,591,Nintavur
7010,592,Dikwella
7010,593,Milagiriya
